[SystemTime { tv_sec: 1783771285, tv_nsec: 887866000 } Pad 1: AxisChanged(LeftStickY, 0.16548489, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 889866000 } Pad 1: AxisChanged(LeftStickY, 0.1675077, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 891866000 } Pad 1: AxisChanged(LeftStickY, 0.17249496, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 893866000 } Pad 1: AxisChanged(LeftStickY, 0.17831928, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 897867000 } Pad 1: AxisChanged(LeftStickY, 0.18292291, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 899870000 } Pad 1: AxisChanged(LeftStickY, 0.18801484, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 903876000 } Pad 1: AxisChanged(LeftStickY, 0.1941879, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 905877000 } Pad 1: AxisChanged(LeftStickY, 0.19600146, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 907867000 } Pad 1: AxisChanged(LeftStickY, 0.20095386, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 909867000 } Pad 1: AxisChanged(LeftStickY, 0.20566213, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 919867000 } Pad 1: AxisChanged(LeftStickY, 0.20782445, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 921867000 } Pad 1: AxisChanged(LeftStickY, 0.2133, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 925867000 } Pad 1: AxisChanged(LeftStickY, 0.21881042, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 929867000 } Pad 1: AxisChanged(LeftStickY, 0.22519276, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 933867000 } Pad 1: AxisChanged(LeftStickY, 0.2297964, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 939867000 } Pad 1: AxisChanged(LeftStickY, 0.23544632, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 945867000 } Pad 1: AxisChanged(LeftStickY, 0.23994534, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 947867000 } Pad 1: AxisChanged(LeftStickY, 0.24468847, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 949867000 } Pad 1: AxisChanged(LeftStickY, 0.24601378, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 951876000 } Pad 1: AxisChanged(LeftStickY, 0.24744369, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 953868000 } Pad 1: AxisChanged(LeftStickY, 0.2523612, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 955867000 } Pad 1: AxisChanged(LeftStickY, 0.2538609, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 957868000 } Pad 1: AxisChanged(LeftStickY, 0.25570932, Code(EvCode(EvCode { kind: 3, code: 1 })))
